"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"105M",-49.9502820644758,13.9155229107011,-18.2195730048748,24.360653888004,3.22983328980878,1.46733768768535,27.9262199559492,23.2120996338894,33.3513613834054,50.9376272194858,-53.3601913593636,-45.9623043452841,-10.5429218080847,73.014928491643,31.7228875597777,45.3461743342743,26.3947846580672,12.7423586156482,3.47407839873029,-15.8003024188557,15.4708055454435,-22.9354146697046,-12.8468200756299,-1.27210741940331e-13
"106M",50.0453952919976,-33.9931745289683,-68.8728873515821,-8.85983486807898,29.2168494959454,-57.219076618887,25.0271626833525,69.0869239779587,35.5729258883903,-34.1045942092248,18.6167595316662,-20.8741849240139,49.8568660273716,-8.96560620829367,-5.09299779310655,12.3206329131281,-14.776408981669,-22.5567373537008,9.59512178541848,8.43608094434669,0.714328765794693,-1.125704805459,-9.06264527599843,5.95655469393108e-13
"107M",45.1664518806608,-5.74499225604483,7.64808402778296,-10.8460150769613,-55.5365231259539,-105.147980353744,16.1084022994494,-63.6328363862865,-4.25203730726932,33.7925877077213,-9.87337604760545,-23.1130103146326,-32.3691880931142,-9.42419385334237,21.6089666020708,-12.2974517807514,0.504586866293878,-2.94781733952933,-7.99340805957107,18.4007697670808,2.99467811855248,0.305870652288222,12.9623592050584,-5.72076186335785e-13
"109M",47.0097518395539,-27.1687114718603,27.3461163749134,0.206089482864295,-16.08825729543,-9.4535481927858,7.2086192866877,-2.12474350094218,-41.5691231329382,-58.2116889440846,-37.8660091653739,41.7586969336686,8.8921917876629,90.4849849715143,-49.4966213230443,-8.21640074428356,16.1560698872356,14.754499846402,-9.46257997511101,-11.7617054383283,-4.37300569963637,-0.459440506033695,-17.4307711048843,1.38666855775682e-13
"239M",23.7880799515821,-63.055042845696,13.425678149959,-7.55751002406493,29.5860460733941,24.3154398215519,-79.700100033271,-33.0230981265029,13.6525348127769,22.7054976042497,-77.7649480585999,-8.53037261849197,38.6584577648044,-22.1446168293269,17.2919103014787,2.10609088456722,-18.1823763825875,-33.7538911834633,1.85711478783679,-6.341925143826,2.61497039061819,4.54843552780033,-1.92628465706595,3.34753058606196e-13
"240M",-5.34653644103441,-23.5800983737938,-13.9942751528502,-21.2452580464428,46.2110392088616,24.4064120041495,35.1044676864179,-42.5036286386589,17.6879804520715,-9.16145461118247,9.42329249501641,-31.1564847856135,0.368501067694662,-22.5472280896922,-17.4243864330904,-61.251527866396,99.0076210990743,18.4537692525391,6.26416620320315,-4.14941296430464,5.85011180319139,2.22115317041509,-5.76223334515022,-5.55250290190656e-14
"241M",-36.6998051844072,-14.7531905294618,10.1609842699595,-0.712909114419153,-31.0070089595003,-3.13908981373171,-7.52590634702537,43.5953319068845,-33.5402473192946,-28.1134823955127,-39.9391546724203,-48.4961296259956,-49.0069664275245,-68.6708083064887,-66.4787371188337,39.0495987370832,8.48516835680812,12.2625107581611,-6.23962974045658,-8.87266584326731,-6.52791021962647,0.567747962819143,3.08862307028231,-3.31554228516495e-13
"242M",-44.6605823692299,-5.58404141038723,-17.6648367399216,-28.6559590417511,44.1538967414278,-4.93011822230162,-34.7316478894268,-12.2070505641146,5.40341376244481,-8.33447426270998,35.5475510682578,-6.83147322638319,-42.014384192708,31.9599995110704,-17.6326098857161,-9.73926272922279,-26.4841143905585,-24.9234076903445,-88.3233103605822,33.2852107170784,-8.14713208560802,-43.9427370122668,8.52072909145336,-4.01803590399652e-13
"269M",-11.2058711369972,39.7364841807712,19.9090023769159,9.84592993848646,-2.33960994591509,30.2709307654502,63.2420863536339,-70.170283314736,11.4630420458042,-40.8317163082346,-2.89771629504001,-41.8853331522076,56.3337836900139,-10.9750883209776,-19.4151025350776,20.7340855613645,-61.263362064892,-6.25013687735932,-3.28664618762993,-4.01157199924259,-3.4476650293305,-18.1299279590932,1.06219964515191,4.46157000233427e-13
"270M",-49.6988881053327,-6.73303514707142,-11.9115765541518,-7.84062648621723,5.83494019991605,-25.5695466884341,15.0186459665635,15.9537047275995,9.78508467985203,33.4120461604783,-21.5828085065936,53.5410915964946,9.56079022707672,-23.7969677540375,-10.9775463691021,-63.6449754072305,-50.7338931737142,59.9476847959934,9.03967853558792,-50.3919900908928,-15.9654009320643,-34.2389788057154,-6.52743704767113,-4.24313362223927e-15
"271M",54.0439141817853,123.310934558539,-11.1216006408856,-40.3764677476169,-13.776130863873,9.88184206930631,-46.2974304921354,24.4101312611623,24.2138648198232,-4.6226647561542,-30.1736953889905,1.45068718875806,9.99401800881919,-7.89163011190416,-6.41410952938779,-21.4873678244434,21.1615995429878,1.19073392659194,-9.71149858614054,-2.2470338695727,-4.3143500214805,-7.85807455537255,6.18355861934399,1.4401457457125e-13
"272M",46.3533283082371,22.4378369678547,-2.29349191778183,132.585063171474,40.9845740258107,-1.90399519003377,-15.9006183837176,-1.73717218450316,-4.48101540846057,17.1416192383596,18.4198198817986,-5.09695354472245,-27.2020840181044,-5.91620319051428,-22.090785589104,-19.6933669678892,-7.05051558005437,-5.94406509235698,-5.11427647806088,-16.8288134712357,-7.05117373887123,12.0752004595562,8.66434918174663,-2.21808682532298e-13
"69M",-19.3804574443509,15.0901496326348,-9.11807839327088,-42.2879761951239,28.0900325124485,-10.8192248336584,-6.90605309555135,-26.8691797137141,3.91767431513183,3.70858807802766,29.92482648045,17.3569477548562,-45.1047173505149,20.3251267015695,-20.2510000563701,28.6141101692942,-9.29759047432398,-57.9181650356961,68.6436829267852,-63.0808159243879,-25.906453644999,31.0824557252215,1.65081087805015,-4.81876691327265e-13
"70M",-22.8459627277314,13.9094386728999,0.485758869527322,-0.885949313959302,-1.60926546759783,0.586941446575234,-6.08249142962253,-0.159603249201472,-6.54954029421063,-1.24032414474603,9.64583773966894,18.2255170960756,-12.6786483664047,-7.43493936964487,-8.76241377494301,-13.8917589987868,-21.315086013793,-10.0718867937809,13.9724229782694,23.3384041905808,120.165330591866,27.6662317338744,-57.2214765511902,-1.04083408558608e-13
"71M",-26.7655180346967,2.12339025299929,-3.73917870426544,-9.99595812880722,-4.98926493016272,5.31096515694342,8.78841314901281,7.04650030175112,8.05838562396412,10.7148684746804,2.66040596444341,-0.762577875334736,16.4623130830301,8.03550368834401,14.2501961442588,-0.0268050472824505,-11.7231435634272,29.1719200328083,-54.6960258565719,1.90131148737615,-30.1176423553885,122.748222706945,-0.363422942770678,1.9240165016754e-13
"72M",-37.2329183645763,8.75557492159018,-8.21513720717459,19.2886168184064,-2.88306085555092,1.14677844062557,-10.7409585166816,-8.82137626545233,9.36195339306376,-1.73256719224939,-8.97676473984368,29.1825659429021,-1.81139323412386,-0.385242810070623,-6.74701414396647,3.19383474501136,3.71888785424353,7.34377240202305,59.6475340174742,105.812003199989,-57.8280235986068,-1.57853764042303,-31.8021452290642,-6.83064715900628e-14
"78M",-25.3767061047646,-8.44422854799441,2.32330626337171,1.72489601375326,-4.91213872256537,7.83468752163845,-2.73588472893646,13.0455374007081,2.26278021354755,-10.0172014237987,0.822092551754743,12.7154914433813,10.3046365704665,17.6867898861353,-3.30920874414016,-8.58447595265641,-2.17574126542513,8.24440284018491,32.6866500422846,27.3800623803658,40.5947821320846,8.75820049821023,124.66454329696,1.45203293833163e-13
"79M",49.3295766447644,5.89632462391185,-37.1928310962464,-27.1210163719885,38.7322758285224,39.4065179833209,40.0073658613169,7.19522370569007,-104.15361875592,26.6518321083154,-10.1777778780157,4.8893352612986,-20.1268224572358,-12.4227939095629,46.97026805633,14.3175845486938,-17.3201252006679,12.1574974185616,2.69560786896347,15.1967223483281,-3.62314239027794,-8.23574099807693,4.59498724767205,9.62979695984245e-14
"80M",26.5732042742395,-6.77040545501859,21.7116487524177,-8.00610050143158,20.3743577467927,-8.9097050043916,-36.6540511446708,-23.4557545405989,18.2391014093698,4.20180080045275,53.2299038233706,27.081265563787,15.1206654399454,-15.6422548182704,3.0380155546483,85.4700365712243,20.2061142390098,82.9503185376766,-2.39923502559485,-9.48230789260119,12.5833083618378,-17.272022553319,-3.22414952555241,5.36515276650107e-14
"81M",-35.5192729507652,11.1769107194044,28.0205812476017,17.9824025630271,-10.1434343442259,-15.511544514781,33.6184386008785,13.1319300000262,-18.9060921627361,24.0630692304397,0.783005123576846,70.8122329982589,45.5211395778001,-34.869659421232,5.95188968465469,27.1317931649671,52.4662621978905,-68.9083619567076,-39.5448200898603,-6.28539198840308,-2.05178331820409,-14.7545027886518,4.23400923790364,3.58133661615412e-13
"92M",-32.3251695914918,-5.6926148782796,-14.0582739056465,7.69534718746636,-58.2619227330047,6.66782537689143,-53.6397879890377,7.34256380607838,-60.7315142909032,19.1060393005652,63.0084794140381,-51.0478561936487,58.1049108381419,21.9877362203482,5.31253353634893,-26.205400568702,10.385809711494,-3.84388411880541,16.9858629910457,-18.9008081613638,-10.4918177583042,-12.8053166143822,-12.9369983826433,8.61949400743356e-13
"93M",41.3849658901174,-17.9739785499639,109.730772991255,-25.9300519034237,4.46983340307693,24.0827035787005,26.5901071266697,56.2270606294457,26.5728965128722,39.4691325649399,32.8029037797213,-25.3335754280117,-13.1851579778804,6.79229400789919,0.322163497886689,-21.9304436961784,-17.7867210801609,-10.8000842961506,10.4767830818563,14.9713078753137,-10.7721861575604,-7.2485386190908,-7.94813721263817,7.57727214306669e-14
"94M",-25.5756282600228,0.302992867656077,29.0685338647072,18.8052157869443,-2.87434396584986,-7.81171026378768,-12.2753326647862,12.4793644075679,5.15371133484267,-93.579001925458,0.214334447686124,0.350442636368613,-29.3600063809459,-12.6596487439202,103.835871588681,-15.1765025375421,4.47993442388274,0.226535601222597,4.6527134425257,-21.491002539189,-7.7015992323683,-7.83717391444461,-7.0492474576332,-3.97952504282983e-13
"95M",38.8889305169388,-37.1620463144223,-53.4287265197597,7.82741796986085,-86.4627173163754,75.0371578436976,14.5503337449308,-8.02164527405091,49.4864780243724,4.04446168563957,17.5132298103977,31.7259816184905,-35.7759837761859,-6.54048174124559,3.78783076974708,3.8617984917569,-4.8577606657138,-11.5275662899179,-13.2199867004019,-9.07612516498905,-2.66902952706193,-11.5514069950963,-1.52440066572992,-2.53200238553575e-13
